fiscal_year,net_operating_surplus,property_income_received,property_income_paid,net_property_income,interest_received,interest_paid,net_interest_income,dividends_received,dividends_paid,net_dividend_income,reinvested_earnings_received,reinvested_earnings_paid,net_reinvested_earnings_income,net_primary_income_balance,current_taxes_paid,income_taxes_paid,other_current_taxes_paid,other_social_insurance_nonpension_benefits_paid,other_current_transfers_paid,imputed_employer_social_contributions_received,other_current_transfers_received,net_disposable_income,net_saving,gross_saving
2015,64952.3,25271.6,26733.9,-1462.3,5973.5,1654.1,4319.4,13029.9,19915.5,-6885.6,4572.4,941.5,3630.9,63490.1,19358.2,13933.6,5424.6,863.6,5748.6,863.6,5040.5,43423.8,43423.8,130399.3
2016,64540.2,21847.6,25172.2,-3324.6,4519.2,542.9,3976.3,10026.9,18753.9,-8727.0,5549.7,1167.2,4382.5,61215.6,18887.2,13146.7,5740.5,883.4,6190.9,883.4,5056.0,41193.6,41193.6,129162.4
2017,67768.6,24089.1,27906.6,-3817.5,4820.0,452.5,4367.5,12026.3,21779.7,-9753.4,5382.5,913.4,4469.1,63951.2,20788.5,15027.8,5760.8,848.0,5855.4,848.0,5222.9,42530.1,42530.1,132488.0
2018,65419.7,29763.9,32554.5,-2790.6,5487.1,284.0,5203.1,16539.3,26503.2,-9963.9,5850.2,1075.4,4774.8,62629.1,22262.6,16051.2,6211.4,832.4,6235.0,832.4,5508.4,39639.9,39639.9,131623.0
2019,53103.3,26254.3,29031.1,-2776.8,5919.7,652.9,5266.8,12510.7,22609.2,-10098.5,5663.1,840.7,4822.4,50326.5,21215.1,14732.4,6482.7,791.9,5635.6,791.9,5065.9,28541.7,28541.7,122671.7
2020,38264.0,27116.8,32288.5,-5171.7,4598.8,445.2,4153.6,15729.4,25950.7,-10221.3,4416.2,645.9,3770.3,33092.3,20635.2,14941.1,5694.1,760.2,6299.8,760.2,16461.1,22618.5,22618.5,117861.7
2021,44507.3,34721.9,35262.4,-540.5,4245.5,310.8,3934.7,17582.6,28465.5,-10882.9,10364.2,1126.4,9237.8,43966.9,24782.6,18126.6,6656.0,734.3,6238.2,734.3,16296.6,29242.7,29242.7,127910.5
2022,44934.3,41067.8,38050.4,3017.4,6448.2,968.2,5480.0,21969.0,30680.2,-8711.2,9837.9,1132.1,8705.8,47951.7,27502.9,20010.6,7492.2,756.4,6317.7,756.4,11501.3,25632.3,25632.3,129666.0
2023,55973.8,42467.4,40423.8,2043.6,7603.3,581.0,7022.3,20873.3,33072.0,-12198.7,11061.3,1188.2,9873.1,58017.4,26835.2,19515.1,7320.1,763.9,6393.2,763.9,8753.6,33542.6,33542.6,142966.2
2024,50819.2,47256.4,44318.7,2937.7,9128.2,590.1,8538.1,24614.9,36850.6,-12235.7,10344.9,1103.6,9241.3,53756.9,29290.5,21156.5,8133.9,794.3,6536.7,794.3,6651.3,24581.0,24581.0,139020.0
